         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
    0   64    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    1   16    4    0    2    6    4    2    6    6    0    0    8    2    2    0    6
    2    0    6    4    4    6    6    2    4    6    4    4    4    2    2    4    6
    3    2    8    0    4    4    4    0    2    8    4    6    4    4    2    4    8
    4    0    4   10    8    4    4    4    6    4    4    4    2    0    4    2    4
    5    4    2    8    6    4    2    6    4    4    4    6    2    4    4    0    4
    6    0    0    4    6    2    2    4   10    4    4    4    6    8    0    2    8
    7    0    2    6    6    0    6    2    6    4    2    2    2   14    0    4    8
    8    0    4    4    4   12    0    4    4    4    4    4    8    4    4    0    4
    9    2    4    2    2   10    2    0    2    6    6    6    4    6    4    0    8
   10    0    6    4    2    4   16    4    0   10    6    0    0    4    6    2    0
   11    2    6    8    6    0   10    0    0    4    6    2    6    2   10    2    0
   12    0    4    6    0    4    2    8    4    2    4    6    2    2    2   12    6
   13    2    4    4    2    4    2    4    2    2    6    6    2    2    6   12    4
   14    0    8    0    4    4    2    6    8    2    2    6   10    0    6    2    4
   15    0    2    0    4    4    6    6   10    6    0    8    4    2    4    6    2
   16    0    6    0    6    4    6    0   10   10    6    0    0    4    4    6    2
   17    6    4    4    0    4    2    4   12    6    2    2    0    2    6    8    2
   18    0    6    4    4    2    4    6    2    4   10    2    2    6    8    4    0
   19    6    6    6    6    6    2    4    0    4   10    0    2    4    6    2    0
   20    0    4   10    4    4    4    8    2    0    0   10    0    0    4    8    6
   21    2    4   12    2    4    4    4    4    2    4    8    2    0    0    8    4
   22    0   10    8    4    2    2    4    2    4    0    4   14    4    2    2    2
   23    8    6    4    2    0    4    6    6    2    2    4   12    2    4    2    0
   24    0    4    0    4    6    4    2    0    8    2    8    2   10    6    2    6
   25    4    4    2    4    8    2    6    2    2    2    2    4   12    6    4    0
   26    0    0    4    0    2    8    2    0    2    8    2    4   14   10    2    6
   27    2    4    6    4    2    6    4    4    4    6    2    4    4    4    4    4
   28    0    2    2    6    6    4    6    6    0    8    4    6    0    4   10    0
   29    8    2    0    6    4    6   10    0    0    8    6    2    0    0    8    4
   30    0    0    4    8    2    0    4    6    4    2    6    4    6    2    6   10
   31    0    2    2    8    4    2    6    4    4    2    4    6    4    6    0   10
   32    8    4    4    2    4    4    2    4    8    4    0    6    0    8    2    4
   33   12    2    8    0   10    4    0    0    8   10    0    4    0    2    2    2
   34    2   16    2    2    0    2    2    6    4    6   10    2    4    2    4    0
   35    4   10    2    0    6    2    6    6    2    4    8    2    4    4    4    0
   36    2    6   10    2    2    4    6    0    6    4    4    2    0    8    6    2
   37    4    4   14    8    2    4   10    2    2    0    0    4    2    6    2    0
   38    2    0    4    6    4    2    6    8    2    4    6    4    4    2    8    2
   39    0    8    4    8    2    6    4    8    4    2    2    4    0    2    8    2
   40    2    2    2    6   10    0    2    0    4    4    0    4   10    4    2   12
   41    0    0    6    8   14    0    0    0    6    4    4    4   10    2    0    6
   42    6    2    2    4    2   10    2    4    4   10    4    4    8    2    0    0
   43    6    6    2    4    0    8    2    0    8    6    2    6    8    6    0    0
   44    2    2    0    6    0    0    6    8    0    6    2    6   10    4    8    4
   45    4    0    2    4    2    4   12    8    0    2    2    6    8    4    2    4
   46    4    4    0    4    6    2    2   10    8    2    2    4    4    2    6    4
   47    6    2    2   12    4    4    2    4    6    0    6    2    0    2    2   10
   48    6    0    2    2    4    8    4    6    8    6    2    2    6    2    4    2
   49    6    8    2    2    0    4    4    6    6    4    4    0    8    4    2    4
   50    8    4    4    8    6    4    6    0    2    8    4    2    2    2    0    4
   51    2    6    0    2   10    6    6    8    4    8    2    0    2    2    2    4
   52    4    4    6    0    2    4    8    4    4    0   14    8    2    4    0    0
   53    2    0    4    2    0    4    6    6    2    0   16    6    0    4    2   10
   54    8    2    4   10    6    4    2    4    2    4    0    6    2    0    4    6
   55   10    2    6    2    2    6    4    0    4    4    4    8    4    0    2    6
   56    0    2    6    4    8   12    6    2    4    2    4    2    6    2    2    2
   57    2   10    4    4    4    8    2    2    4    4    2    6    4    4    2    2
   58    4    6    2    0    2    4    4    2    2    0    4    6    4   14    6    4
   59    4    2    0    0    4    4    4    2    2    4    2    2    8   12   12    2
   60    4    8   10    2    2    0    6    0    2    2    2    6    2    4    8    6
   61    2    4    4    4    4    0    2    4    4    8    4    2    4    6   12    0
   62    2    2    6    6    6    4    0    6    4    2    6    0    0    4    4   12
   63    0    0    4    4    0    0    0    8    2    4    6    8    2    4   10   12
